0,70,-105,19
0,65,-117,20
2,72,-99,18
1,66,-111,17
2,72,-103,18
0,53,-125,20
2,62,-118,19
4,70,-100,18
1,51,-126,20
2,59,-125,19
5,66,-103,18
5,71,-107,18
8,179,-130,32
5,59,-115,19
7,67,-98,18
10,181,-126,39
10,187,-130,29
4,48,-125,20
5,56,-119,22
7,63,-106,19
9,69,-93,17
12,180,-123,36
12,186,-124,41
5,38,-123,18
8,58,-113,19
10,64,-96,17
14,183,-118,44
14,189,-123,46
9,34,-104,15
7,38,-123,21
9,58,-113,23
12,65,-90,17
16,180,-114,42
16,186,-119,54
16,192,-122,47
15,198,-130,36
9,34,-118,16
8,39,-130,19
11,58,-114,23
13,65,-92,17
11,97,-130,25
11,102,-130,30
17,178,-118,53
17,184,-117,54
17,190,-119,76
17,196,-124,32
17,215,-130,26
18,220,-128,24
10,37,-122,26
10,48,-129,20
12,55,-113,20
14,61,-97,18
12,91,-130,24
13,97,-128,27
13,102,-130,31
13,108,-130,32
18,178,-119,53
19,184,-116,56
19,190,-117,83
19,196,-118,55
19,208,-130,38
19,214,-130,23
19,220,-127,28
12,34,-119,17
12,40,-115,16
12,47,-125,21
13,53,-118,19
16,60,-93,18
14,89,-128,24
14,95,-127,29
14,101,-129,35
15,107,-130,32
15,118,-130,40
16,124,-129,44
16,130,-130,51
20,182,-113,52
20,188,-116,109
21,194,-115,82
20,201,-124,28
20,213,-130,21
21,218,-126,33
13,36,-122,25
15,43,-106,19
13,48,-130,20
15,55,-114,20
15,88,-128,27
16,93,-125,32
16,99,-129,41
16,111,-130,62
17,117,-124,47
18,123,-123,35
17,129,-129,52
18,135,-130,67
22,181,-112,58
22,187,-116,106
23,192,-112,92
23,198,-112,64
21,205,-130,25
22,217,-126,30
14,35,-120,22
18,45,-89,20
17,55,-104,21
17,86,-126,27
17,92,-124,36
17,98,-129,34
18,104,-127,55
19,110,-122,52
19,115,-117,33
20,121,-118,33
19,127,-126,55
19,133,-128,73
19,139,-129,76
20,145,-130,70
24,179,-110,61
23,185,-116,151
25,190,-105,85
24,196,-110,84
23,203,-124,25
24,215,-126,29
16,34,-116,23
19,41,-93,20
20,55,-97,22
17,77,-130,35
18,83,-125,30
19,89,-123,32
19,95,-121,31
20,101,-120,39
20,107,-116,48
21,112,-113,37
21,118,-114,35
21,124,-122,71
21,130,-124,74
21,136,-124,75
21,142,-126,79
22,148,-126,77
22,153,-125,77
23,159,-124,74
23,165,-124,69
23,171,-129,65
24,182,-120,81
25,188,-113,105
26,193,-103,97
27,199,-104,72
25,208,-128,22
25,215,-124,30
18,32,-113,18
18,38,-112,22
18,44,-119,20
18,49,-125,22
18,57,-126,20
19,74,-130,36
20,80,-123,26
20,86,-121,38
21,92,-116,33
21,98,-116,36
22,104,-113,41
23,109,-112,39
23,115,-112,41
23,121,-118,70
23,127,-117,69
23,133,-117,67
23,138,-120,74
23,144,-121,82
24,150,-121,83
24,156,-119,77
25,162,-117,79
25,168,-119,71
25,174,-125,67
25,180,-126,49
25,186,-126,76
28,190,-102,114
28,196,-101,98
29,201,-97,37
27,209,-122,25
27,215,-123,29
20,30,-104,16
19,35,-120,21
19,40,-123,21
19,55,-129,23
20,73,-127,27
21,79,-123,30
22,85,-118,33
23,91,-114,37
23,96,-113,34
24,102,-110,35
24,108,-109,31
24,114,-112,54
24,119,-114,76
25,125,-110,72
25,131,-111,74
25,137,-114,83
25,143,-117,91
26,149,-117,93
26,154,-115,88
27,160,-113,85
27,166,-113,81
27,172,-117,75
27,178,-122,67
27,184,-126,53
30,194,-99,109
30,199,-97,86
28,207,-121,24
28,213,-123,30
29,219,-125,22
21,30,-110,17
20,35,-120,21
21,53,-129,20
21,65,-128,23
22,71,-125,24
23,77,-121,27
24,83,-115,27
24,89,-112,39
25,95,-111,34
25,101,-108,37
26,106,-107,31
26,112,-111,83
26,118,-110,79
27,124,-106,87
27,129,-107,82
27,135,-111,97
27,141,-113,100
27,147,-114,94
28,153,-112,90
28,158,-110,96
29,164,-109,91
29,170,-111,85
29,176,-115,77
29,182,-120,65
28,188,-126,50
29,194,-123,73
