0,70,-61,14
6,202,-112,14
1,52,-94,15
2,48,-94,15
10,62,-122,20
19,213,-113,15
12,62,-119,20
19,210,-129,15
13,62,-118,20
19,182,-126,35
15,62,-112,18
22,178,-113,36
21,184,-126,39
16,61,-122,18
23,179,-115,36
22,186,-127,54
16,55,-127,21
24,178,-115,37
24,184,-123,48
24,190,-126,50
18,55,-123,21
25,177,-122,49
26,182,-119,42
26,188,-123,72
26,194,-127,33
19,42,-122,18
20,55,-124,19
23,114,-127,38
23,120,-128,33
27,184,-119,55
27,190,-121,81
27,196,-123,34
22,90,-130,35
23,96,-129,34
23,102,-127,36
24,108,-125,38
25,114,-122,36
24,119,-127,40
28,178,-126,39
29,183,-118,62
29,189,-119,99
29,195,-119,66
30,220,-128,21
24,86,-129,35
25,92,-125,33
25,97,-124,32
25,103,-122,39
26,109,-121,39
26,115,-123,43
26,121,-128,71
26,127,-129,66
26,133,-130,70
30,179,-115,54
30,185,-119,106
31,191,-117,100
31,196,-116,73
30,203,-129,25
31,215,-130,22
25,78,-130,24
25,84,-126,29
26,90,-123,33
27,96,-120,32
27,102,-120,37
28,108,-119,39
28,113,-122,59
28,119,-122,68
28,125,-121,64
28,131,-123,68
28,137,-127,75
29,143,-128,81
29,149,-128,77
29,154,-126,76
30,160,-127,70
32,177,-115,52
32,183,-119,115
32,189,-114,95
33,195,-115,79
32,201,-125,28
33,219,-126,32
27,77,-127,23
27,83,-124,35
28,89,-121,32
28,94,-118,39
29,100,-118,33
29,106,-118,48
29,112,-120,81
30,118,-116,75
30,124,-115,72
30,129,-118,84
30,135,-122,86
30,141,-124,90
31,147,-124,88
31,153,-121,81
32,158,-120,77
32,164,-122,74
31,171,-130,67
33,182,-120,109
34,187,-114,106
35,193,-109,87
35,199,-110,63
34,218,-127,30
26,46,-126,18
27,69,-130,24
28,75,-123,27
29,81,-122,31
29,87,-118,42
30,93,-115,35
30,99,-116,31
30,105,-118,58
31,110,-118,88
32,116,-113,82
32,122,-112,82
32,128,-115,101
32,134,-119,96
32,139,-121,98
32,145,-121,92
33,151,-118,87
33,157,-116,88
34,163,-116,82
34,169,-120,72
33,175,-127,60
34,181,-124,53
35,186,-119,120
37,191,-102,122
37,197,-105,79
35,204,-127,21
36,216,-126,27
30,71,-123,26
30,77,-121,31
31,83,-117,44
31,89,-113,37
32,94,-114,37
32,100,-116,46
32,106,-117,96
33,112,-113,82
34,118,-108,78
34,123,-111,111
34,129,-114,103
34,135,-117,98
34,141,-119,103
34,147,-117,93
35,152,-113,94
35,158,-112,96
36,164,-113,96
36,170,-117,81
35,176,-122,65
35,182,-127,49
37,187,-113,82
38,192,-101,114
38,198,-102,88
36,206,-127,22
37,211,-126,22
